S1,S2,S3,S4,Activity
250,172,250,45,0
191,113,250,103,0
250,121,175,141,0
172,221,250,189,0
250,63,250,150,0
250,152,250,62,0
165,124,250,92,0
250,158,250,56,0
172,43,171,131,0
72,145,175,129,0
250,69,250,146,0
250,104,250,109,0
250,168,170,130,0
73,143,175,139,0
174,139,121,135,0
250,89,250,127,0
250,120,250,95,0
250,212,250,167,0
250,130,250,83,0
222,221,182,250,0
250,121,111,153,0
80,137,174,178,0
250,68,145,184,0
220,101,113,104,0
250,60,153,167,0
211,194,223,187,0
250,137,250,222,0
250,77,135,81,0
250,72,141,78,0
250,74,139,79,0
250,75,137,80,0
250,75,139,78,0
250,75,138,79,0
250,76,138,79,0
250,74,140,76,0
250,77,136,80,0
250,66,250,147,1
250,62,250,86,1
220,62,151,200,1
172,59,155,216,1
45,59,103,45,1
45,68,250,93,1
44,147,250,143,1
46,195,250,158,1
250,63,250,151,1
250,194,63,152,1
220,195,250,49,1
250,195,250,46,1
158,195,250,46,1
250,155,59,45,1
250,189,215,46,1
165,100,113,101,0
250,79,97,117,0
250,183,250,221,0
250,81,133,84,0
250,75,137,167,0
163,183,223,92,0
202,195,222,218,0
250,107,106,109,0
250,78,134,83,0
250,75,138,78,0
250,76,138,79,0
250,79,133,82,0
250,75,138,80,0
250,76,137,80,0
250,76,136,81,0
250,74,139,77,0
250,78,136,83,0
250,76,137,78,0
250,76,137,79,0
250,75,139,77,0
250,79,134,82,0
250,77,136,80,0
250,74,139,79,0
250,76,137,79,0
250,78,135,81,0
250,76,137,80,0
250,76,137,79,0
250,75,138,79,0
250,77,137,79,0
250,76,138,79,0
250,77,137,79,0
250,75,139,79,0
250,75,250,222,0
250,79,135,82,0
250,75,138,189,0
221,98,115,100,0
250,63,151,179,0
172,148,67,54,1
250,158,62,49,1
250,183,250,46,1
195,195,62,46,1
221,195,250,133,0
250,133,224,226,0
250,60,250,219,1
250,60,250,199,1
45,60,250,137,1
45,59,250,154,1
120,65,250,148,1
119,68,145,216,1
182,196,250,221,0
250,80,132,83,0
250,77,250,136,0
250,165,223,105,0
204,197,224,221,0
250,103,110,106,0
250,76,137,79,0
250,77,136,81,0
250,77,136,81,0
250,74,139,78,0
250,77,136,80,0
250,77,136,80,0
250,80,134,81,0
250,77,136,81,0
250,76,137,80,0
250,75,138,79,0
250,76,137,79,0
250,76,137,79,0
250,77,135,81,0
250,76,137,79,0
250,80,134,82,0
250,77,135,81,0
250,76,137,79,0
250,78,135,81,0
250,77,138,79,0
250,78,135,82,0
250,76,138,79,0
250,76,138,79,1
250,59,250,155,1
250,60,250,90,1
45,60,250,98,1
45,59,250,100,1
44,60,223,218,1
250,195,223,221,0
250,195,250,223,0
250,81,65,50,1
172,195,250,47,1
250,179,250,45,1
220,136,77,45,1
250,151,65,47,1
250,183,216,113,0
206,196,223,217,0
250,104,109,106,0
250,77,136,80,0
250,77,136,80,0
250,77,136,82,0
250,74,139,77,0
250,76,137,80,0
250,76,137,79,0
250,76,137,83,0
250,74,140,77,0
250,76,136,80,0
250,77,135,82,0
250,75,138,78,0
250,76,137,80,0
75,139,250,75,0
250,81,132,85,0
250,75,138,79,0
250,74,140,76,0
250,77,250,222,0
250,77,135,81,0
250,76,137,80,0
250,75,138,79,0
250,78,137,79,0
250,76,138,79,0
250,77,137,80,0
250,77,135,146,0
250,196,250,143,0
171,195,222,219,0
250,145,70,144,0
250,80,132,84,0
250,78,137,80,0
172,196,250,222,0
250,126,88,126,0
250,78,136,81,0
250,75,139,48,1
250,105,60,43,1
250,188,250,45,1
220,195,61,178,1
171,118,65,151,1
100,115,121,94,0
46,63,250,109,1
45,58,250,75,1
45,59,158,56,1
173,60,154,62,1
172,61,250,152,1
250,133,82,133,0
250,75,138,190,0
163,197,223,54,0
219,98,113,102,0
250,78,250,135,0
250,152,63,151,0
250,79,135,81,0
250,75,138,78,0
250,75,137,78,0
250,77,136,81,0
250,80,133,85,0
250,74,140,186,0
174,197,225,216,0
250,138,76,138,0
250,77,137,79,0
250,79,135,81,0
250,77,136,80,0
250,74,250,139,0
250,163,223,105,0
164,53,159,216,0
220,142,73,142,0
250,64,150,67,0
188,194,250,221,0
250,110,250,103,0
250,195,250,222,0
250,85,129,87,0
250,77,137,80,0
250,75,137,79,0
250,75,139,78,0
250,61,250,151,1
250,60,250,93,1
47,60,250,95,1
46,61,250,97,1
45,63,250,200,1
250,194,250,102,0
250,197,250,100,0
250,195,250,156,0
250,86,66,48,1
250,179,250,46,1
150,66,147,47,1
250,130,84,217,0
163,185,224,92,0
172,194,222,221,0
250,137,78,136,0
250,78,135,81,0
250,79,135,81,0
250,78,135,81,0
250,76,138,79,0
250,77,136,80,0
250,78,135,81,0
250,76,137,80,0
250,75,138,78,0
250,78,134,82,0
250,77,136,81,0
250,77,136,81,0
250,76,138,79,0
250,74,140,77,0
250,79,134,81,0
250,78,135,82,0
250,75,139,153,0
250,195,250,127,0
219,196,223,218,0
250,107,107,110,0
250,75,138,79,0
250,75,138,78,0
250,77,136,80,0
250,78,136,80,0
250,78,136,80,0
250,76,137,80,0
250,76,138,80,0
250,75,138,79,0
250,76,137,79,0
250,78,134,81,0
250,77,136,57,0
250,99,115,51,0
250,127,87,48,1
250,158,57,46,1
250,203,250,158,1
250,132,62,97,1
250,133,250,167,1
47,78,250,223,1
45,63,250,59,1
45,60,250,181,1
171,60,221,171,1
171,59,155,221,1
165,60,112,104,1
250,61,250,111,0
221,101,112,103,0
250,75,250,139,0
250,145,250,70,0
220,196,250,147,0
202,194,223,220,0
250,108,105,111,0
250,76,136,81,0
250,73,141,188,0
172,196,223,217,0
250,140,74,141,0
250,78,135,82,0
250,77,135,81,0
250,76,137,78,0
250,79,134,81,0
250,78,135,80,0
250,79,135,80,0
250,78,136,80,0
250,76,137,79,0
250,76,137,80,0
250,76,137,79,0
250,78,135,81,0
250,76,137,160,0
220,194,223,219,0
250,123,91,122,0
250,79,133,82,0
76,138,75,105,0
54,62,250,88,1
48,60,250,94,1
46,59,250,98,1
250,98,250,118,0
250,182,250,146,0
250,194,223,220,0
187,194,250,51,1
250,161,62,49,1
250,182,250,124,0
250,69,250,97,0
221,98,114,166,0
184,169,226,88,0
208,195,223,218,0
250,105,108,107,0
250,77,135,86,0
250,71,142,75,0
250,76,138,79,0
250,79,135,81,0
250,75,138,80,0
250,76,136,80,0
250,73,140,190,0
165,196,222,218,0
250,147,67,148,0
250,77,137,80,0
250,76,137,82,0
250,74,139,190,0
165,196,222,218,0
250,147,68,147,0
250,78,136,81,0
250,78,136,81,0
250,75,138,79,0
250,76,137,80,0
250,75,138,79,0
250,76,137,79,0
250,79,135,161,0
170,62,152,216,0
148,69,250,145,0
172,150,66,150,0
164,194,250,169,0
250,174,218,110,0
171,149,63,55,0
250,160,250,50,0
220,196,250,48,0
250,82,250,159,0
172,142,250,80,0
250,64,250,160,0
52,59,250,185,0
50,58,250,182,0
48,57,250,158,0
250,61,250,152,0
250,170,50,160,0
250,89,250,123,0
250,164,216,114,0
202,195,223,221,0
250,103,111,104,0
250,78,135,81,0
250,79,135,81,0
250,93,250,121,0
250,163,53,161,0
250,77,137,79,0
250,76,136,80,0
250,76,137,80,0
250,80,134,82,0
250,76,136,80,0
250,74,139,77,0
250,80,133,83,0
250,74,250,223,0
